ALT,Resposta
a) Rock,33
b) Pop,45
c) Sertanejo,19
d) Eletrônica,25
e) Jazz,18
f) Blues,13
g) Hip-Hop/Rap,36
h) Reggae,18
i) Clássica/Erudita,18
j) MPB,35
k) Funk,30
l) Indie/Alternativo,23
m) Forró,16
n) Outro,11
